gpu_name,hardware_key,model_name,context_length,batch_size,strategy,mean_ms_per_step,std_ms_per_step,mean_ms_per_token,throughput_tok_per_sec,prefill_ms,total_decode_ms,num_decode_steps,num_warmup_runs,total_generate_ms,peak_memory_mb,param_bytes,kv_bytes_per_token,num_layers,num_kv_heads,head_dim,max_context,attention_impl_actual
NVIDIA H100 80GB HBM3,H100_SXM,Qwen/Qwen2.5-7B-Instruct,512,1,full_cache,19.037,0.078,19.037,52.5,24.05,9746.88,512,1,9770.93,14737.6,15231233024,57344,28,4,128,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,Qwen/Qwen2.5-7B-Instruct,1024,1,full_cache,18.918,0.11,18.918,52.9,34.71,9685.89,512,1,9720.61,14918.6,15231233024,57344,28,4,128,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,Qwen/Qwen2.5-7B-Instruct,2048,1,full_cache,18.859,0.04,18.859,53.0,62.86,9655.92,512,1,9718.78,15278.7,15231233024,57344,28,4,128,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,Qwen/Qwen2.5-7B-Instruct,4096,1,full_cache,18.94,0.014,18.94,52.8,127.67,9697.13,512,1,9824.8,15998.2,15231233024,57344,28,4,128,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,Qwen/Qwen2.5-7B-Instruct,8192,1,full_cache,19.014,0.056,19.014,52.6,259.6,9734.94,512,1,9994.54,17438.2,15231233024,57344,28,4,128,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,Qwen/Qwen2.5-7B-Instruct,16384,1,full_cache,19.034,0.067,19.034,52.5,586.36,9745.66,512,1,10332.02,20317.8,15231233024,57344,28,4,128,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,Qwen/Qwen2.5-7B-Instruct,32768,1,full_cache,20.097,0.028,20.097,49.8,1470.89,10289.43,512,1,11760.32,26077.9,15231233024,57344,28,4,128,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,Qwen/Qwen2.5-7B-Instruct,4096,1,full_cache,18.958,0.072,18.958,52.7,127.21,9706.64,512,1,9833.85,15998.2,15231233024,57344,28,4,128,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,Qwen/Qwen2.5-7B-Instruct,4096,1,window_512,20.822,0.017,20.822,48.0,127.59,10660.76,512,1,10788.34,15998.2,15231233024,57344,28,4,128,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,Qwen/Qwen2.5-7B-Instruct,4096,1,snapkv_512,20.928,0.115,20.928,47.8,127.63,10715.28,512,1,10842.91,15998.2,15231233024,57344,28,4,128,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,Qwen/Qwen2.5-7B-Instruct,4096,1,expected_attn_512,21.112,0.056,21.112,47.4,127.96,10809.4,512,1,10937.36,15998.2,15231233024,57344,28,4,128,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,Qwen/Qwen2.5-7B-Instruct,8192,1,full_cache,18.655,0.007,18.655,53.6,258.87,9551.35,512,1,9810.23,17438.2,15231233024,57344,28,4,128,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,Qwen/Qwen2.5-7B-Instruct,8192,1,window_512,20.884,0.039,20.884,47.9,258.64,10692.67,512,1,10951.31,17438.2,15231233024,57344,28,4,128,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,Qwen/Qwen2.5-7B-Instruct,8192,1,snapkv_512,20.981,0.068,20.981,47.7,260.05,10742.02,512,1,11002.07,17438.2,15231233024,57344,28,4,128,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,Qwen/Qwen2.5-7B-Instruct,8192,1,expected_attn_512,21.173,0.065,21.173,47.2,259.86,10840.74,512,1,11100.6,17438.2,15231233024,57344,28,4,128,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,Qwen/Qwen2.5-7B-Instruct,16384,1,full_cache,18.843,0.221,18.843,53.1,584.05,9647.39,512,1,10231.44,20317.8,15231233024,57344,28,4,128,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,Qwen/Qwen2.5-7B-Instruct,16384,1,window_512,20.915,0.062,20.915,47.8,587.62,10708.42,512,1,11296.04,20317.8,15231233024,57344,28,4,128,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,Qwen/Qwen2.5-7B-Instruct,16384,1,snapkv_512,21.142,0.137,21.142,47.3,581.37,10824.89,512,1,11406.27,20317.8,15231233024,57344,28,4,128,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,Qwen/Qwen2.5-7B-Instruct,16384,1,expected_attn_512,21.436,0.036,21.436,46.6,586.31,10975.43,512,1,11561.75,20317.8,15231233024,57344,28,4,128,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,Qwen/Qwen2.5-7B-Instruct,8192,1,full_cache,19.234,0.54,19.234,52.0,259.1,9847.6,512,1,10106.7,17438.2,15231233024,57344,28,4,128,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,Qwen/Qwen2.5-7B-Instruct,8192,4,full_cache,17.057,0.07,4.264,234.5,1043.94,8733.37,512,1,9777.31,26077.9,15231233024,57344,28,4,128,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,Qwen/Qwen2.5-7B-Instruct,8192,16,full_cache,26.279,0.002,1.642,608.8,4227.4,13454.88,512,1,17682.28,60638.6,15231233024,57344,28,4,128,32768,flash_attention_2
